SmartZoneName,curb_zone_id,week,day,bookings,Weekend_dummy,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3,CLASS_2,Bike_Network_dummy,geometry,dist_class_1,dist_class_2,dist_class_3,dist_class_4,dist_class_5,Prediction,Residual,AbsResidual
1000 Chestnut St (near 11 St),181,1,Sat,4,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,0.7426373970230036,0.7426373970230036
1000 Chestnut St (near 11 St),181,2,Sun,4,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,0.7426373970230036,0.7426373970230036
1000 Chestnut St (near 11 St),181,2,Thu,2,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-2.4195526401528147,2.4195526401528147
1000 Chestnut St (near 11 St),181,3,Sun,0,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,-3.2573626029769964,3.2573626029769964
1000 Chestnut St (near 11 St),181,3,Wed,1,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-3.4195526401528147,3.4195526401528147
1000 Chestnut St (near 11 St),181,3,Fri,10,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,5.580447359847185,5.580447359847185
1000 Chestnut St (near 11 St),181,4,Sun,0,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,-3.2573626029769964,3.2573626029769964
1000 Chestnut St (near 11 St),181,4,Mon,8,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,3.5804473598471853,3.5804473598471853
1000 Chestnut St (near 11 St),181,4,Fri,7,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,2.5804473598471853,2.5804473598471853
1000 Chestnut St (near 11 St),181,5,Tue,9,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,4.580447359847185,4.580447359847185
1000 Chestnut St (near 11 St),181,7,Sun,0,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,-3.2573626029769964,3.2573626029769964
1000 Chestnut St (near 11 St),181,7,Sat,10,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,6.742637397023003,6.742637397023003
1000 Chestnut St (near 11 St),181,8,Sun,5,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,1.7426373970230036,1.7426373970230036
1000 Chestnut St (near 11 St),181,8,Mon,2,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-2.4195526401528147,2.4195526401528147
1000 Chestnut St (near 11 St),181,8,Tue,1,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-3.4195526401528147,3.4195526401528147
1000 Chestnut St (near 11 St),181,8,Sat,9,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,5.742637397023003,5.742637397023003
1000 Chestnut St (near 11 St),181,9,Mon,1,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-3.4195526401528147,3.4195526401528147
1000 Chestnut St (near 11 St),181,9,Fri,9,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,4.580447359847185,4.580447359847185
1000 Chestnut St (near 11 St),181,10,Tue,4,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-0.4195526401528147,0.4195526401528147
1000 Chestnut St (near 11 St),181,10,Sat,7,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,3.7426373970230036,3.7426373970230036
1000 Chestnut St (near 11 St),181,11,Sun,2,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,-1.2573626029769964,1.2573626029769964
1000 Chestnut St (near 11 St),181,11,Mon,4,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-0.4195526401528147,0.4195526401528147
1000 Chestnut St (near 11 St),181,11,Wed,7,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,2.5804473598471853,2.5804473598471853
1000 Chestnut St (near 11 St),181,11,Thu,5,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,0.5804473598471853,0.5804473598471853
1000 Chestnut St (near 11 St),181,11,Fri,6,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,1.5804473598471853,1.5804473598471853
1000 Chestnut St (near 11 St),181,11,Sat,7,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,3.7426373970230036,3.7426373970230036
1000 Chestnut St (near 11 St),181,12,Sun,4,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,0.7426373970230036,0.7426373970230036
1000 Chestnut St (near 11 St),181,12,Wed,8,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,3.5804473598471853,3.5804473598471853
1000 Chestnut St (near 11 St),181,12,Sat,4,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,0.7426373970230036,0.7426373970230036
1000 Chestnut St (near 11 St),181,13,Wed,12,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,7.580447359847185,7.580447359847185
1000 Chestnut St (near 11 St),181,13,Sat,7,1,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,3.2573626029769964,3.7426373970230036,3.7426373970230036
1000 Chestnut St (near 11 St),181,14,Tue,10,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,5.580447359847185,5.580447359847185
1000 Chestnut St (near 11 St),181,14,Wed,4,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-0.4195526401528147,0.4195526401528147
1000 Chestnut St (near 11 St),181,43,Mon,2,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-2.4195526401528147,2.4195526401528147
1000 Chestnut St (near 11 St),181,44,Tue,3,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-1.4195526401528147,1.4195526401528147
1000 Chestnut St (near 11 St),181,44,Wed,3,0,458.087,562.8278,606.3953,1346.787,1378.175,1403.977,994.35893,1020.06405,1083.6412,395.80676,400.9471,405.4735,346.69509,372.81799,384.88101,3288.889,3304.555,3319.309,268.9491,268.9491,269.3123,172.7051,208.46303,233.5348,105.92147,117.32443,130.50456,7653.51,7656.121,7658.493,276.51824,280.27934,291.83817,2,1,"c(-75.1567807534209,  39.9500372620243)",2566.9180803402196,147.35001267499388,136.77710036095928,936.0878909885154,249.46857051450283,4.419552640152815,-1.4195526401528147,1.4195526401528147
