SmartZoneName,curb_zone_id,week,car,freight,truck,van,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Mid_Day,overnight,PM_Rush,Total_Events,Total_Dwell_Time,Average_Dwell_Time,Precipitation,log_events,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3
1000 Chestnut St (near 11 St),"181",6,20,1,0,8,7,2,3,2,4,5,6,4,12,13,"29",974.09,33.5893103448276,0.0906,1.46239799789896," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",7,33,1,0,2,0,1,7,8,3,7,10,6,13,17,"36",1193.2,33.1444444444444,6.9221,1.55630250076729," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",8,25,0,0,2,5,2,1,2,4,4,9,5,8,14,"27",929.15,34.412962962963,0.5716,1.43136376415899," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",9,34,1,2,1,6,1,4,6,7,9,5,4,19,15,"38",1288.34,33.9036842105263,8.2545,1.57978359661681," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",10,28,1,0,6,3,4,4,5,5,7,7,13,9,13,"35",1069.34,30.5525714285714,1.952,1.54406804435028," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",11,38,1,0,5,2,4,13,7,5,6,7,10,14,20,"44",1689.56,38.3990909090909,0.6058,1.64345267648619," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",12,32,0,1,9,4,5,6,8,11,4,4,15,10,17,"42",1505.33,35.8411904761905,5.4921,1.6232492903979," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",13,34,1,0,6,3,4,6,12,7,2,7,10,14,17,"41",1077.95,26.2914634146341,6.4729,1.61278385671974," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",14,33,0,0,10,4,6,10,4,9,4,6,10,19,14,"43",1347.36,31.3339534883721,0.3601,1.63346845557959," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",15,21,1,0,5,1,6,9,4,7,0,0,10,6,11,"27",1002.92,37.1451851851852,0.0005,1.43136376415899," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",42,5,0,0,2,1,0,0,4,0,2,0,2,2,3,"7",259.34,37.0485714285714,5.6804,0.845098040014257," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",43,17,0,0,2,2,2,5,1,3,4,2,8,5,6,"19",908.17,47.7984210526316,6.0934,1.27875360095283," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",44,27,0,0,0,3,0,3,3,10,7,1,10,3,14,"27",1008.45,37.35,1.3507,1.43136376415899," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",45,31,0,0,1,3,5,3,4,3,13,1,2,15,15,"32",1055.65,32.9890625,3.4217,1.50514997831991," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
1000 Chestnut St (near 11 St),"181",46,23,0,0,0,6,3,5,0,2,4,3,5,7,11,"23",821.93,35.7360869565217,11.6212,1.36172783601759," 458.0870"," 562.8278"," 606.3953","1346.787","1378.175","1403.977"," 994.35893","1020.06405","1083.6412"," 395.80676"," 400.9471"," 405.4735"," 346.69509"," 372.81799"," 384.88101","3288.889","3304.555","3319.309"," 268.9491"," 268.9491"," 269.3123"," 172.70510"," 208.46303"," 233.53480"," 105.92147"," 117.32443"," 130.50456","7653.510","7656.121","7658.493"," 276.51824"," 280.27934"," 291.83817"
