"SmartZoneName","curb_zone_id","week","Day","geometry"
"1000 Chestnut St (near 11 St)","181",5,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",5,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",5,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",5,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",6,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",7,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",8,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",9,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",10,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",11,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",12,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",13,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",14,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",15,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Mon","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Tue","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Wed","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Thu","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Fri","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",42,"Sat","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",43,"Sun","c(-75.1567807534209,  39.9500372620243)"
"1000 Chestnut St (near 11 St)","181",43,"Mon","c(-75.1567807534209,  39.9500372620243)"
