SmartZoneName,categry,rgltn_t,CLASS_2,curb_zone_id,week,car,freight,truck,van,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Mid_Day,overnight,PM_Rush,Total_Events,Total_Dwell_Time,Average_Dwell_Time,nn1_alcohol_shop,nn2_alcohol_shop,nn3_alcohol_shop,nn1_bakery_shop,nn2_bakery_shop,nn3_bakery_shop,nn1_beverages_shop,nn2_beverages_shop,nn3_beverages_shop,nn1_convenience_shop,nn2_convenience_shop,nn3_convenience_shop,nn1_deli_shop,nn2_deli_shop,nn3_deli_shop,nn1_department_store_shop,nn2_department_store_shop,nn3_department_store_shop,nn1_supermarket_shop,nn2_supermarket_shop,nn3_supermarket_shop,nn1_clothes_shop,nn2_clothes_shop,nn3_clothes_shop,nn1_gift_shop,nn2_gift_shop,nn3_gift_shop,nn1_apartments_building,nn2_apartments_building,nn3_apartments_building,nn1_dormitory_building,nn2_dormitory_building,nn3_dormitory_building,nn1_hotel_building,nn2_hotel_building,nn3_hotel_building,nn1_commercial_building,nn2_commercial_building,nn3_commercial_building,nn1_office_building,nn2_office_building,nn3_office_building,nn1_retail_building,nn2_retail_building,nn3_retail_building,nn1_warehouse_building,nn2_warehouse_building,nn3_warehouse_building,nn1_church_building,nn2_church_building,nn3_church_building,nn1_college_building,nn2_college_building,nn3_college_building,nn1_government_building,nn2_government_building,nn3_government_building,nn1_hospital_building,nn2_hospital_building,nn3_hospital_building,nn1_public_building,nn2_public_building,nn3_public_building,nn1_school_building,nn2_school_building,nn3_school_building,nn1_university_building,nn2_university_building,nn3_university_building,nn1_bar_amenity,nn2_bar_amenity,nn3_bar_amenity,nn1_cafe_amenity,nn2_cafe_amenity,nn3_cafe_amenity,nn1_fast_food_amenity,nn2_fast_food_amenity,nn3_fast_food_amenity,nn1_pub_amenity,nn2_pub_amenity,nn3_pub_amenity,nn1_restaurant_amenity,nn2_restaurant_amenity,nn3_restaurant_amenity,nn1_college_amenity,nn2_college_amenity,nn3_college_amenity,nn1_school_amenity,nn2_school_amenity,nn3_school_amenity,nn1_university_amenity,nn2_university_amenity,nn3_university_amenity,nn1_parking_space_amenity,nn2_parking_space_amenity,nn3_parking_space_amenity,nn1_bank_amenity,nn2_bank_amenity,nn3_bank_amenity,nn1_atm_amenity,nn2_atm_amenity,nn3_atm_amenity,nn1_clinic_amenity,nn2_clinic_amenity,nn3_clinic_amenity,nn1_hospital_amenity,nn2_hospital_amenity,nn3_hospital_amenity,nn1_pharmacy_amenity,nn2_pharmacy_amenity,nn3_pharmacy_amenity,nn1_community_centre_amenity,nn2_community_centre_amenity,nn3_community_centre_amenity,nn1_conference_centre_amenity,nn2_conference_centre_amenity,nn3_conference_centre_amenity,nn1_nightclub_amenity,nn2_nightclub_amenity,nn3_nightclub_amenity,nn1_theatre_amenity,nn2_theatre_amenity,nn3_theatre_amenity,nn1_police_amenity,nn2_police_amenity,nn3_police_amenity,nn1_post_box_amenity,nn2_post_box_amenity,nn3_post_box_amenity,nn1_post_office_amenity,nn2_post_office_amenity,nn3_post_office_amenity,nn1_place_of_worship_amenity,nn2_place_of_worship_amenity,nn3_place_of_worship_amenity,Precipitation
100 Broad (near Walnut St),commercial,loading,2,"192",3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"1",43.22,43.22,1554.71866058573,1978.09869557422,2735.21923365498,2488.70880909295,2612.60338198647,2669.25922723598,2359.71438977308,2597.29908171723,2851.18069948895,882.656949382106,939.530486139531,998.332248063148,1150.99537820358,1566.24431592365,1737.7667944987,871.408866004201,1165.92769760423,1326.04264455753,1599.46534369287,1683.17244668165,1804.20979702172,686.440371656818,688.085578748663,701.773738794244,1002.48851266692,1372.37381754573,1875.60418829302,202.784419781192,204.987858734152,215.214135658746,1515.79189735575,1525.07226337784,1533.38873267227,305.326069696673,308.332923470207,310.812226842268,30.2641562388733,34.2902583260784,59.1049097879807,94.8552119059452,120.128999620938,138.451835812988,353.793178654566,354.737805896529,356.876824133762,4018.77219036907,4045.38347837443,4074.61914459709,920.169543379683,927.856690881734,931.465509419839,1527.86086445421,1535.15705239629,1540.83518001636,2255.02789845874,2262.74641676616,2268.86843411072,1356.98771357316,1364.29619397772,1377.54956939186,3323.83423410085,3336.47727648451,3346.35589450013,2086.14412779196,2087.99844167845,2090.59690646706,1244.49680817544,1245.97246308107,1262.09458609544,477.858929422861,512.464480045425,527.155927066763,334.647301368354,538.615838319972,610.068327984861,246.679192290468,261.817552409377,416.505874571898,457.27361813679,468.028458325966,473.934301422699,170.289617821941,225.912923669946,277.1055574443,1040.95369422134,1282.3328763196,1379.01051229178,1276.0489002875,1634.73008031951,1765.83271783572,1240.39205700325,1242.44443258934,1244.1123277218,5751.4494943264,5754.48395963222,5757.28807728187,117.120180556086,143.401895041753,176.430757815512,944.890517689816,1538.03581103715,2454.73960311985,398.169930139523,739.086175204697,1197.53251414596,1478.77132733406,1520.14058388269,1579.74077074596,1113.62185336031,1128.27374505614,1134.26765573891,963.39505401364,1102.64651423066,1244.96147619264,1869.66263206761,1884.38504739506,1889.96817040317,782.045614727422,1101.83341824398,1266.54548117994,160.506950219488,168.414846371667,253.809600276227,2952.32174420597,3084.10198329855,3129.56716621643,520.702298028182,601.911528137441,669.669839748911,1112.09639489878,1677.60229351184,2175.03255809295,920.169543379683,927.856690881734,931.465509419839,8.7113
100 Broad (near Walnut St),commercial,loading,2,"192",5,0,0,0,2,0,0,0,1,0,1,0,0,0,2,"2",141.43,70.715,1554.71866058573,1978.09869557422,2735.21923365498,2488.70880909295,2612.60338198647,2669.25922723598,2359.71438977308,2597.29908171723,2851.18069948895,882.656949382106,939.530486139531,998.332248063148,1150.99537820358,1566.24431592365,1737.7667944987,871.408866004201,1165.92769760423,1326.04264455753,1599.46534369287,1683.17244668165,1804.20979702172,686.440371656818,688.085578748663,701.773738794244,1002.48851266692,1372.37381754573,1875.60418829302,202.784419781192,204.987858734152,215.214135658746,1515.79189735575,1525.07226337784,1533.38873267227,305.326069696673,308.332923470207,310.812226842268,30.2641562388733,34.2902583260784,59.1049097879807,94.8552119059452,120.128999620938,138.451835812988,353.793178654566,354.737805896529,356.876824133762,4018.77219036907,4045.38347837443,4074.61914459709,920.169543379683,927.856690881734,931.465509419839,1527.86086445421,1535.15705239629,1540.83518001636,2255.02789845874,2262.74641676616,2268.86843411072,1356.98771357316,1364.29619397772,1377.54956939186,3323.83423410085,3336.47727648451,3346.35589450013,2086.14412779196,2087.99844167845,2090.59690646706,1244.49680817544,1245.97246308107,1262.09458609544,477.858929422861,512.464480045425,527.155927066763,334.647301368354,538.615838319972,610.068327984861,246.679192290468,261.817552409377,416.505874571898,457.27361813679,468.028458325966,473.934301422699,170.289617821941,225.912923669946,277.1055574443,1040.95369422134,1282.3328763196,1379.01051229178,1276.0489002875,1634.73008031951,1765.83271783572,1240.39205700325,1242.44443258934,1244.1123277218,5751.4494943264,5754.48395963222,5757.28807728187,117.120180556086,143.401895041753,176.430757815512,944.890517689816,1538.03581103715,2454.73960311985,398.169930139523,739.086175204697,1197.53251414596,1478.77132733406,1520.14058388269,1579.74077074596,1113.62185336031,1128.27374505614,1134.26765573891,963.39505401364,1102.64651423066,1244.96147619264,1869.66263206761,1884.38504739506,1889.96817040317,782.045614727422,1101.83341824398,1266.54548117994,160.506950219488,168.414846371667,253.809600276227,2952.32174420597,3084.10198329855,3129.56716621643,520.702298028182,601.911528137441,669.669839748911,1112.09639489878,1677.60229351184,2175.03255809295,920.169543379683,927.856690881734,931.465509419839,0.2545
100 Broad (near Walnut St),commercial,loading,2,"192",15,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"1",40.7,40.7,1554.71866058573,1978.09869557422,2735.21923365498,2488.70880909295,2612.60338198647,2669.25922723598,2359.71438977308,2597.29908171723,2851.18069948895,882.656949382106,939.530486139531,998.332248063148,1150.99537820358,1566.24431592365,1737.7667944987,871.408866004201,1165.92769760423,1326.04264455753,1599.46534369287,1683.17244668165,1804.20979702172,686.440371656818,688.085578748663,701.773738794244,1002.48851266692,1372.37381754573,1875.60418829302,202.784419781192,204.987858734152,215.214135658746,1515.79189735575,1525.07226337784,1533.38873267227,305.326069696673,308.332923470207,310.812226842268,30.2641562388733,34.2902583260784,59.1049097879807,94.8552119059452,120.128999620938,138.451835812988,353.793178654566,354.737805896529,356.876824133762,4018.77219036907,4045.38347837443,4074.61914459709,920.169543379683,927.856690881734,931.465509419839,1527.86086445421,1535.15705239629,1540.83518001636,2255.02789845874,2262.74641676616,2268.86843411072,1356.98771357316,1364.29619397772,1377.54956939186,3323.83423410085,3336.47727648451,3346.35589450013,2086.14412779196,2087.99844167845,2090.59690646706,1244.49680817544,1245.97246308107,1262.09458609544,477.858929422861,512.464480045425,527.155927066763,334.647301368354,538.615838319972,610.068327984861,246.679192290468,261.817552409377,416.505874571898,457.27361813679,468.028458325966,473.934301422699,170.289617821941,225.912923669946,277.1055574443,1040.95369422134,1282.3328763196,1379.01051229178,1276.0489002875,1634.73008031951,1765.83271783572,1240.39205700325,1242.44443258934,1244.1123277218,5751.4494943264,5754.48395963222,5757.28807728187,117.120180556086,143.401895041753,176.430757815512,944.890517689816,1538.03581103715,2454.73960311985,398.169930139523,739.086175204697,1197.53251414596,1478.77132733406,1520.14058388269,1579.74077074596,1113.62185336031,1128.27374505614,1134.26765573891,963.39505401364,1102.64651423066,1244.96147619264,1869.66263206761,1884.38504739506,1889.96817040317,782.045614727422,1101.83341824398,1266.54548117994,160.506950219488,168.414846371667,253.809600276227,2952.32174420597,3084.10198329855,3129.56716621643,520.702298028182,601.911528137441,669.669839748911,1112.09639489878,1677.60229351184,2175.03255809295,920.169543379683,927.856690881734,931.465509419839,0.0005
100 Broad (near Walnut St),commercial,loading,2,"192",9,0,0,0,4,0,0,0,0,4,0,0,0,0,4,"4",232.41,58.1025,1554.71866058573,1978.09869557422,2735.21923365498,2488.70880909295,2612.60338198647,2669.25922723598,2359.71438977308,2597.29908171723,2851.18069948895,882.656949382106,939.530486139531,998.332248063148,1150.99537820358,1566.24431592365,1737.7667944987,871.408866004201,1165.92769760423,1326.04264455753,1599.46534369287,1683.17244668165,1804.20979702172,686.440371656818,688.085578748663,701.773738794244,1002.48851266692,1372.37381754573,1875.60418829302,202.784419781192,204.987858734152,215.214135658746,1515.79189735575,1525.07226337784,1533.38873267227,305.326069696673,308.332923470207,310.812226842268,30.2641562388733,34.2902583260784,59.1049097879807,94.8552119059452,120.128999620938,138.451835812988,353.793178654566,354.737805896529,356.876824133762,4018.77219036907,4045.38347837443,4074.61914459709,920.169543379683,927.856690881734,931.465509419839,1527.86086445421,1535.15705239629,1540.83518001636,2255.02789845874,2262.74641676616,2268.86843411072,1356.98771357316,1364.29619397772,1377.54956939186,3323.83423410085,3336.47727648451,3346.35589450013,2086.14412779196,2087.99844167845,2090.59690646706,1244.49680817544,1245.97246308107,1262.09458609544,477.858929422861,512.464480045425,527.155927066763,334.647301368354,538.615838319972,610.068327984861,246.679192290468,261.817552409377,416.505874571898,457.27361813679,468.028458325966,473.934301422699,170.289617821941,225.912923669946,277.1055574443,1040.95369422134,1282.3328763196,1379.01051229178,1276.0489002875,1634.73008031951,1765.83271783572,1240.39205700325,1242.44443258934,1244.1123277218,5751.4494943264,5754.48395963222,5757.28807728187,117.120180556086,143.401895041753,176.430757815512,944.890517689816,1538.03581103715,2454.73960311985,398.169930139523,739.086175204697,1197.53251414596,1478.77132733406,1520.14058388269,1579.74077074596,1113.62185336031,1128.27374505614,1134.26765573891,963.39505401364,1102.64651423066,1244.96147619264,1869.66263206761,1884.38504739506,1889.96817040317,782.045614727422,1101.83341824398,1266.54548117994,160.506950219488,168.414846371667,253.809600276227,2952.32174420597,3084.10198329855,3129.56716621643,520.702298028182,601.911528137441,669.669839748911,1112.09639489878,1677.60229351184,2175.03255809295,920.169543379683,927.856690881734,931.465509419839,8.2545
100 Broad (near Walnut St),commercial,loading,2,"192",7,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"1",39.72,39.72,1554.71866058573,1978.09869557422,2735.21923365498,2488.70880909295,2612.60338198647,2669.25922723598,2359.71438977308,2597.29908171723,2851.18069948895,882.656949382106,939.530486139531,998.332248063148,1150.99537820358,1566.24431592365,1737.7667944987,871.408866004201,1165.92769760423,1326.04264455753,1599.46534369287,1683.17244668165,1804.20979702172,686.440371656818,688.085578748663,701.773738794244,1002.48851266692,1372.37381754573,1875.60418829302,202.784419781192,204.987858734152,215.214135658746,1515.79189735575,1525.07226337784,1533.38873267227,305.326069696673,308.332923470207,310.812226842268,30.2641562388733,34.2902583260784,59.1049097879807,94.8552119059452,120.128999620938,138.451835812988,353.793178654566,354.737805896529,356.876824133762,4018.77219036907,4045.38347837443,4074.61914459709,920.169543379683,927.856690881734,931.465509419839,1527.86086445421,1535.15705239629,1540.83518001636,2255.02789845874,2262.74641676616,2268.86843411072,1356.98771357316,1364.29619397772,1377.54956939186,3323.83423410085,3336.47727648451,3346.35589450013,2086.14412779196,2087.99844167845,2090.59690646706,1244.49680817544,1245.97246308107,1262.09458609544,477.858929422861,512.464480045425,527.155927066763,334.647301368354,538.615838319972,610.068327984861,246.679192290468,261.817552409377,416.505874571898,457.27361813679,468.028458325966,473.934301422699,170.289617821941,225.912923669946,277.1055574443,1040.95369422134,1282.3328763196,1379.01051229178,1276.0489002875,1634.73008031951,1765.83271783572,1240.39205700325,1242.44443258934,1244.1123277218,5751.4494943264,5754.48395963222,5757.28807728187,117.120180556086,143.401895041753,176.430757815512,944.890517689816,1538.03581103715,2454.73960311985,398.169930139523,739.086175204697,1197.53251414596,1478.77132733406,1520.14058388269,1579.74077074596,1113.62185336031,1128.27374505614,1134.26765573891,963.39505401364,1102.64651423066,1244.96147619264,1869.66263206761,1884.38504739506,1889.96817040317,782.045614727422,1101.83341824398,1266.54548117994,160.506950219488,168.414846371667,253.809600276227,2952.32174420597,3084.10198329855,3129.56716621643,520.702298028182,601.911528137441,669.669839748911,1112.09639489878,1677.60229351184,2175.03255809295,920.169543379683,927.856690881734,931.465509419839,6.9221
1000 Chestnut St (near 11 St),loading,loading,2,"181",2,25,1,0,2,4,3,7,5,2,6,1,4,15,9,"28",605.6,21.6285714285714,2002.73190691572,2773.96854879837,3529.79243818882,1346.78675500927,1378.17498319379,1403.97736424051,1947.00758254352,2801.85680088121,3495.43166620397,635.239165822951,804.555876232074,864.582080470511,1224.25328869144,1260.38445910587,1308.79950501574,731.258315130553,779.879578264723,888.51002955265,619.540033237578,652.952665618961,761.733947001512,458.086968365751,562.827755514865,606.39530418064,1054.91437124524,1204.97640775368,1612.96110316029,106.406633343921,108.491194477134,112.868344579511,614.452378940743,618.279842896255,619.868449084236,395.806756444156,400.947116102319,405.473499879712,577.60339711006,595.885072966096,635.355508503899,346.695089057522,372.817987078846,384.881012931674,324.890929340711,343.195538383502,370.354393563403,3288.88903993935,3304.55506517987,3319.30937692812,268.949113502616,269.312323781948,270.700041940979,2653.48334823296,2696.64279544507,2719.95094620126,1193.23684997593,1210.70465048134,1228.91939114091,117.324433859251,130.504561656902,139.444347177419,4926.45066262538,4939.7924924623,4948.56232194716,1159.64804969827,1161.58286708952,1163.34233835847,507.636371270225,536.494971315151,551.955078935646,989.652449514184,1083.64117349867,1148.90514191511,616.562471370128,751.410605751549,797.453728226408,370.916837094136,371.002006643743,390.625101458245,994.358933682925,1020.06404775402,1085.43959830186,552.772773925185,566.578486096284,576.397351746236,1032.92555933671,2053.40287245739,2425.04964016283,1159.64804969827,1161.58286708952,1163.34233835847,172.705104099939,208.463027603626,233.534796228708,7653.50985218729,7656.12071175282,7658.49274063356,74.8644096153871,445.430185844827,578.334595388794,2955.15337750909,3560.27710723626,4120.3654265312,810.494283082371,1022.46701504682,1148.40299257646,105.921467418158,266.719708118487,344.999594632756,667.325576800197,898.375704926055,1045.71404712813,2163.39089185356,2471.40358080248,2683.38118442546,1453.36684724201,1457.69885955078,1463.92748787919,1498.78726428734,2182.39126569512,2421.25152648402,276.518239192394,280.279337185573,291.838167119074,2058.18689356836,2058.70132365903,2058.87748945893,561.950147796455,831.292357856681,985.44699905249,1425.06332266532,1428.05285542492,1487.2013631924,268.949113502616,269.312323781948,270.700041940979,1.6321
1000 Chestnut St (near 11 St),loading,loading,2,"181",1,22,0,0,0,3,1,3,1,3,7,4,2,8,11,"22",816.82,37.1281818181818,2002.73190691572,2773.96854879837,3529.79243818882,1346.78675500927,1378.17498319379,1403.97736424051,1947.00758254352,2801.85680088121,3495.43166620397,635.239165822951,804.555876232074,864.582080470511,1224.25328869144,1260.38445910587,1308.79950501574,731.258315130553,779.879578264723,888.51002955265,619.540033237578,652.952665618961,761.733947001512,458.086968365751,562.827755514865,606.39530418064,1054.91437124524,1204.97640775368,1612.96110316029,106.406633343921,108.491194477134,112.868344579511,614.452378940743,618.279842896255,619.868449084236,395.806756444156,400.947116102319,405.473499879712,577.60339711006,595.885072966096,635.355508503899,346.695089057522,372.817987078846,384.881012931674,324.890929340711,343.195538383502,370.354393563403,3288.88903993935,3304.55506517987,3319.30937692812,268.949113502616,269.312323781948,270.700041940979,2653.48334823296,2696.64279544507,2719.95094620126,1193.23684997593,1210.70465048134,1228.91939114091,117.324433859251,130.504561656902,139.444347177419,4926.45066262538,4939.7924924623,4948.56232194716,1159.64804969827,1161.58286708952,1163.34233835847,507.636371270225,536.494971315151,551.955078935646,989.652449514184,1083.64117349867,1148.90514191511,616.562471370128,751.410605751549,797.453728226408,370.916837094136,371.002006643743,390.625101458245,994.358933682925,1020.06404775402,1085.43959830186,552.772773925185,566.578486096284,576.397351746236,1032.92555933671,2053.40287245739,2425.04964016283,1159.64804969827,1161.58286708952,1163.34233835847,172.705104099939,208.463027603626,233.534796228708,7653.50985218729,7656.12071175282,7658.49274063356,74.8644096153871,445.430185844827,578.334595388794,2955.15337750909,3560.27710723626,4120.3654265312,810.494283082371,1022.46701504682,1148.40299257646,105.921467418158,266.719708118487,344.999594632756,667.325576800197,898.375704926055,1045.71404712813,2163.39089185356,2471.40358080248,2683.38118442546,1453.36684724201,1457.69885955078,1463.92748787919,1498.78726428734,2182.39126569512,2421.25152648402,276.518239192394,280.279337185573,291.838167119074,2058.18689356836,2058.70132365903,2058.87748945893,561.950147796455,831.292357856681,985.44699905249,1425.06332266532,1428.05285542492,1487.2013631924,268.949113502616,269.312323781948,270.700041940979,2.8022
1000 Chestnut St (near 11 St),loading,loading,2,"181",13,34,1,0,6,3,4,6,12,7,2,7,10,14,17,"41",1077.95,26.2914634146341,2002.73190691572,2773.96854879837,3529.79243818882,1346.78675500927,1378.17498319379,1403.97736424051,1947.00758254352,2801.85680088121,3495.43166620397,635.239165822951,804.555876232074,864.582080470511,1224.25328869144,1260.38445910587,1308.79950501574,731.258315130553,779.879578264723,888.51002955265,619.540033237578,652.952665618961,761.733947001512,458.086968365751,562.827755514865,606.39530418064,1054.91437124524,1204.97640775368,1612.96110316029,106.406633343921,108.491194477134,112.868344579511,614.452378940743,618.279842896255,619.868449084236,395.806756444156,400.947116102319,405.473499879712,577.60339711006,595.885072966096,635.355508503899,346.695089057522,372.817987078846,384.881012931674,324.890929340711,343.195538383502,370.354393563403,3288.88903993935,3304.55506517987,3319.30937692812,268.949113502616,269.312323781948,270.700041940979,2653.48334823296,2696.64279544507,2719.95094620126,1193.23684997593,1210.70465048134,1228.91939114091,117.324433859251,130.504561656902,139.444347177419,4926.45066262538,4939.7924924623,4948.56232194716,1159.64804969827,1161.58286708952,1163.34233835847,507.636371270225,536.494971315151,551.955078935646,989.652449514184,1083.64117349867,1148.90514191511,616.562471370128,751.410605751549,797.453728226408,370.916837094136,371.002006643743,390.625101458245,994.358933682925,1020.06404775402,1085.43959830186,552.772773925185,566.578486096284,576.397351746236,1032.92555933671,2053.40287245739,2425.04964016283,1159.64804969827,1161.58286708952,1163.34233835847,172.705104099939,208.463027603626,233.534796228708,7653.50985218729,7656.12071175282,7658.49274063356,74.8644096153871,445.430185844827,578.334595388794,2955.15337750909,3560.27710723626,4120.3654265312,810.494283082371,1022.46701504682,1148.40299257646,105.921467418158,266.719708118487,344.999594632756,667.325576800197,898.375704926055,1045.71404712813,2163.39089185356,2471.40358080248,2683.38118442546,1453.36684724201,1457.69885955078,1463.92748787919,1498.78726428734,2182.39126569512,2421.25152648402,276.518239192394,280.279337185573,291.838167119074,2058.18689356836,2058.70132365903,2058.87748945893,561.950147796455,831.292357856681,985.44699905249,1425.06332266532,1428.05285542492,1487.2013631924,268.949113502616,269.312323781948,270.700041940979,6.4729
1000 Chestnut St (near 11 St),loading,loading,2,"181",3,28,0,1,0,0,6,4,1,4,10,4,7,9,13,"29",922.29,31.8031034482759,2002.73190691572,2773.96854879837,3529.79243818882,1346.78675500927,1378.17498319379,1403.97736424051,1947.00758254352,2801.85680088121,3495.43166620397,635.239165822951,804.555876232074,864.582080470511,1224.25328869144,1260.38445910587,1308.79950501574,731.258315130553,779.879578264723,888.51002955265,619.540033237578,652.952665618961,761.733947001512,458.086968365751,562.827755514865,606.39530418064,1054.91437124524,1204.97640775368,1612.96110316029,106.406633343921,108.491194477134,112.868344579511,614.452378940743,618.279842896255,619.868449084236,395.806756444156,400.947116102319,405.473499879712,577.60339711006,595.885072966096,635.355508503899,346.695089057522,372.817987078846,384.881012931674,324.890929340711,343.195538383502,370.354393563403,3288.88903993935,3304.55506517987,3319.30937692812,268.949113502616,269.312323781948,270.700041940979,2653.48334823296,2696.64279544507,2719.95094620126,1193.23684997593,1210.70465048134,1228.91939114091,117.324433859251,130.504561656902,139.444347177419,4926.45066262538,4939.7924924623,4948.56232194716,1159.64804969827,1161.58286708952,1163.34233835847,507.636371270225,536.494971315151,551.955078935646,989.652449514184,1083.64117349867,1148.90514191511,616.562471370128,751.410605751549,797.453728226408,370.916837094136,371.002006643743,390.625101458245,994.358933682925,1020.06404775402,1085.43959830186,552.772773925185,566.578486096284,576.397351746236,1032.92555933671,2053.40287245739,2425.04964016283,1159.64804969827,1161.58286708952,1163.34233835847,172.705104099939,208.463027603626,233.534796228708,7653.50985218729,7656.12071175282,7658.49274063356,74.8644096153871,445.430185844827,578.334595388794,2955.15337750909,3560.27710723626,4120.3654265312,810.494283082371,1022.46701504682,1148.40299257646,105.921467418158,266.719708118487,344.999594632756,667.325576800197,898.375704926055,1045.71404712813,2163.39089185356,2471.40358080248,2683.38118442546,1453.36684724201,1457.69885955078,1463.92748787919,1498.78726428734,2182.39126569512,2421.25152648402,276.518239192394,280.279337185573,291.838167119074,2058.18689356836,2058.70132365903,2058.87748945893,561.950147796455,831.292357856681,985.44699905249,1425.06332266532,1428.05285542492,1487.2013631924,268.949113502616,269.312323781948,270.700041940979,8.7113
1000 Chestnut St (near 11 St),loading,loading,2,"181",14,33,0,0,10,4,6,10,4,9,4,6,10,19,14,"43",1347.36,31.3339534883721,2002.73190691572,2773.96854879837,3529.79243818882,1346.78675500927,1378.17498319379,1403.97736424051,1947.00758254352,2801.85680088121,3495.43166620397,635.239165822951,804.555876232074,864.582080470511,1224.25328869144,1260.38445910587,1308.79950501574,731.258315130553,779.879578264723,888.51002955265,619.540033237578,652.952665618961,761.733947001512,458.086968365751,562.827755514865,606.39530418064,1054.91437124524,1204.97640775368,1612.96110316029,106.406633343921,108.491194477134,112.868344579511,614.452378940743,618.279842896255,619.868449084236,395.806756444156,400.947116102319,405.473499879712,577.60339711006,595.885072966096,635.355508503899,346.695089057522,372.817987078846,384.881012931674,324.890929340711,343.195538383502,370.354393563403,3288.88903993935,3304.55506517987,3319.30937692812,268.949113502616,269.312323781948,270.700041940979,2653.48334823296,2696.64279544507,2719.95094620126,1193.23684997593,1210.70465048134,1228.91939114091,117.324433859251,130.504561656902,139.444347177419,4926.45066262538,4939.7924924623,4948.56232194716,1159.64804969827,1161.58286708952,1163.34233835847,507.636371270225,536.494971315151,551.955078935646,989.652449514184,1083.64117349867,1148.90514191511,616.562471370128,751.410605751549,797.453728226408,370.916837094136,371.002006643743,390.625101458245,994.358933682925,1020.06404775402,1085.43959830186,552.772773925185,566.578486096284,576.397351746236,1032.92555933671,2053.40287245739,2425.04964016283,1159.64804969827,1161.58286708952,1163.34233835847,172.705104099939,208.463027603626,233.534796228708,7653.50985218729,7656.12071175282,7658.49274063356,74.8644096153871,445.430185844827,578.334595388794,2955.15337750909,3560.27710723626,4120.3654265312,810.494283082371,1022.46701504682,1148.40299257646,105.921467418158,266.719708118487,344.999594632756,667.325576800197,898.375704926055,1045.71404712813,2163.39089185356,2471.40358080248,2683.38118442546,1453.36684724201,1457.69885955078,1463.92748787919,1498.78726428734,2182.39126569512,2421.25152648402,276.518239192394,280.279337185573,291.838167119074,2058.18689356836,2058.70132365903,2058.87748945893,561.950147796455,831.292357856681,985.44699905249,1425.06332266532,1428.05285542492,1487.2013631924,268.949113502616,269.312323781948,270.700041940979,0.3601
