SmartZoneName,retail_nn1,retail_nn2,retail_nn3,quick_grocery_nn1,quick_grocery_nn2,quick_grocery_nn3,dining_nn1,dining_nn2,dining_nn3,housing_nn1,housing_nn2,housing_nn3,commercial_nn1,commercial_nn2,commercial_nn3,industrial_nn1,industrial_nn2,industrial_nn3,civic_nn1,civic_nn2,civic_nn3,school_nn1,school_nn2,school_nn3,healthcare_nn1,healthcare_nn2,healthcare_nn3,parking_nn1,parking_nn2,parking_nn3,attraction_nn1,attraction_nn2,attraction_nn3
1399 Walnut Street (near Broad Street)," 688.6161"," 717.8980"," 745.3861","1634.296","1970.544","2537.176"," 451.63714"," 460.38598"," 467.0063"," 243.22061"," 243.6261"," 245.4003","  50.61700","  59.61547","  67.71759","3977.876","4006.506","4035.560"," 629.9582"," 687.1304"," 880.7685","1002.3074","1187.36637","1190.41890"," 732.1884","1099.3521","1116.0662","5766.995","5769.973","5772.719","  72.83143","  81.94180"," 215.99924"
1399 Walnut Street (near Juniper)," 621.72395"," 841.7112"," 963.7129","1982.316","2007.450","2515.932"," 338.9565"," 370.19429"," 371.11346"," 360.20263"," 363.7058"," 375.7953","  64.89387","  74.58302","  78.88409","4073.115","4109.364","4137.623"," 631.6208"," 648.8089"," 794.5010"," 721.1593"," 934.63366"," 941.12100"," 749.1101"," 931.87837"," 937.65982","6032.408","6035.248","6037.853"," 334.70340"," 336.42541"," 372.8023"
600 Chestnut St (near 6 Street)," 726.8797"," 820.4341"," 937.5801","1877.055","1944.002","1966.562"," 178.4917"," 83.76847"," 946.0883"," 823.90639"," 827.2294"," 829.1494","  84.77385","  88.44193","  97.50592","3274.508","3289.035","3303.830","  29.30531"," 663.0536"," 942.5421"," 256.5440"," 256.5440"," 259.9517"," 783.96657"," 794.59476"," 800.61166","8861.201","8863.473","8865.503"," 985.93866"," 995.93829","1014.32829"
600 Walnut Street (near 6 Street)," 997.5356","1171.4970","1266.5059","2003.158","2183.637","2207.955"," 668.0690","1173.2892","1485.2517","1013.61298","1022.2034","1027.1526"," 124.72330"," 132.84494"," 136.98369","3872.165","3887.121","3901.933"," 599.77296"," 734.5135"," 882.2443"," 757.04933"," 772.63300"," 837.7919"," 725.29641"," 738.45136"," 745.28028","8733.453","8735.454","8737.210","1035.75008","1042.17784","1047.36464"
700 Walnut Street (near Washington Street)," 679.4298"," 979.6753","1179.0433","1898.415","2194.224","2253.402"," 588.9507"," 62.31027","106.71633"," 641.53058"," 655.0779"," 662.8684"," 135.81706"," 211.46131"," 259.08820","3815.264","3823.053","3838.107"," 652.30783"," 654.3506"," 678.2290"," 357.98429"," 388.90050"," 472.67384"," 512.06658"," 516.45081"," 519.25225","8371.525","8373.608","8375.447"," 636.32465"," 646.35535"," 650.33803"
800 Chestnut St (near 8 St)," 231.2234"," 464.7941"," 605.2303","1398.548","1448.385","1474.862"," 759.6211","1012.3859","1187.867","  84.73376"," 105.0280"," 112.0658"," 340.11724"," 344.02898"," 348.78065","3231.238","3237.043","3252.102"," 477.6473"," 477.6473"," 499.6409","  90.72440"," 101.48810"," 117.28948","  67.95158"," 111.24083"," 126.59325","8044.324","8046.812","8049.059"," 416.90374"," 417.76066"," 419.58992"
800 Walnut Street (near 8 Street)," 523.5970"," 884.3247","1059.9006","1558.183","194.83925","1997.518"," 891.4735"," 978.3254","1029.17363"," 311.11935"," 335.1592"," 345.8634"," 280.64576"," 281.41178"," 282.45853","3818.809","3821.822","3836.955"," 432.5923"," 438.4816"," 459.3795"," 183.75210"," 184.8147"," 188.5864","  63.93754"," 229.21995"," 230.16045","7842.603","7844.808","7846.771","  66.86108","  76.21121"," 103.11062"
900 Chestnut St (near 10 St)," 238.0488"," 469.3118"," 604.0395","1396.012","1445.628","1472.113"," 766.6367","1013.3647","1188.487","  79.26219"," 101.0339"," 111.3880"," 338.28007"," 342.00863"," 346.86527","3230.982","3236.941","3251.997"," 471.4799"," 471.4799"," 493.6934","  86.64106"," 102.91038"," 120.55655","  60.95652"," 109.68010"," 126.94841","8038.691","8041.181","8043.431"," 418.07344"," 419.11178"," 420.33538"
900 Walnut Street (near 10 Street)," 64.99524"," 73.85461"," 78.70668"," 90.38955","1420.957","1929.936"," 46.46996"," 82.60672"," 837.92177","  76.60757","  81.00151","  83.05804"," 169.93426"," 170.29378"," 176.29377","3859.812","3872.744","3887.649"," 516.2803"," 654.7593"," 732.9857","  93.97077"," 118.05566"," 131.96399"," 120.06518"," 126.25091"," 128.58456","7369.374","7371.721","7373.825"," 370.66443"," 387.19322"," 404.69619"
900 Walnut Street (near 9 Street)," 652.8469"," 921.7636","1054.3832","1454.331","175.93239","1950.493"," 884.71984"," 955.6451","1106.54233"," 109.55913"," 119.49139"," 167.87260","  45.00592","  48.92723","  50.69742","3838.692","3847.030","3862.078"," 530.5563"," 541.9667"," 563.1627","  37.64780","  47.78773","  86.95516","  25.02297","  34.13813","  37.76073","7585.499","7587.774","7589.807"," 122.70290"," 164.60487"," 180.15318"
